foodtype,shopname
日本料理,金龙咖喱
西餐,Jane's garden 简的花园牛扒屋(...
陕菜,羊瑞堂铁锅羊肉
韩国料理,江缘道
西餐,77com
川菜,辣先生
陕菜,莲花餐饮(朱雀店)
烧烤,原始泥炉烤肉
西餐,Puppy宠物主题西餐
西餐,"斑斓西餐 be life, belief(大雁..."
烧烤,大家烤羊庄(大雁塔店)
海鲜,沐鱼海鲜蒸汽料理
川菜,苏乞儿
面包甜点,陕拾叁冰饼糖(鼓楼店)
咖啡厅,sugarman espresso素饮·糖人
火锅,荷唐壹號(曲江店)
日本料理,手岛寿司
火锅,海底捞火锅(雁南路店)
火锅,清真叁少野涮锅烧烤
其他,张老板的店(交大店)
火锅,巴色鱼捞
其他,荷与禾·荷蔬食餐厅
烧烤,KING MO MO宽炉烤肉
火锅,吆酒行者记
日本料理,河風·精致寿司
西餐,叭古叻牛排(太和广场店)
烧烤,深夜食堂
陕菜,关中记忆主题餐厅
西餐,Hi Salad嗨沙拉(民乐园店)
小吃快餐,龍面
海鲜,木木湛海海鲜蒸锅
陕菜,大厨小馆(雁塔店)
面包甜点,nicethings甜品店
西餐,王品牛排(西安时代广场店)
陕菜,真爱中国餐馆(环城西苑店)
粤菜,潮十三潮汕砂锅粥
陕菜,长安大牌档(印象城购物中心店)
西餐,佛伦萨古典火炉披萨
火锅,海底捞火锅(金花路店)
其他,丝路餐厅
湘菜,吃饭皇帝大(赛格国际店)
咖啡厅,平仄咖啡馆
面包甜点,Oh！SODA(民乐园店)
咖啡厅,十悦Oct.bar
陕菜,遇见长安(阳光天地店)
火锅,海底捞火锅(解放路店)
火锅,土火ToHot
面包甜点,EnergyCake蛋糕理想国
西餐,娘家牛排(曲江店)
日本料理,臻泰牛日式烧肉料理
小龙虾,同福龙虾
火锅,伐木累串串
小龙虾,占座儿庭院餐厅
西餐,黑森日耳曼德国餐厅
面包甜点,Mocheese芝士甜品
西餐,Hi Salad 嗨沙拉(高新店)
自助餐,Coppi’s佧裴日式烧肉(西市店)
日本料理,一松怀石料理
火锅,海底捞火锅(高科广场店)
日本料理,蟹一料理
陕菜,遇见长安(卜蜂莲花店)
陕菜,长安大牌档(赛格国际购物中心店)
陕菜,喜悦味道
火锅,李吴记上上签串串火锅(民乐园店)
日本料理,手岛寿司
日本料理,达人未满·烧肉酒场
日本料理,一苏料理
私房菜,WORD GUO 工厂
火锅,有才叔的鱼(顺城巷店)
东南亚菜,甲泰船面(高科广场店)
火锅,神仙酸汤鱼火锅
烧烤,海东洱海子石板烧(粉巷店)
川菜,辣呦(雁塔旗舰店)
海鲜,海趣餐厅
陕菜,长安大牌档(凤舞朝阳店)
火锅,酸辣谷·古法秘制酸菜清真火锅
西餐,嘬
西餐,蓮
陕菜,遇见长安(丝路风荷店)
西餐,俄式厨房(吉祥路店)
火锅,东来顺(高新店)
自助餐,汉巴味德自助餐厅
自助餐,汉来海港自助餐厅(汉神购物广场...
陕菜,古今长安老茶坊(赛格国际店)
西餐,仙麦精酿啤酒餐厅
火锅,海底捞火锅(赛格广场店)
日本料理,旺角创意餐厅(唐延路店)
面包甜点,Le régal略味法式甜品
火锅,曰Yue.火锅(交大店)
面包甜点,半勺舒舒
面包甜点,Godiva(世纪金花钟楼)
面包甜点,初代(凯德广场店)
川菜,苏福记川菜(紫薇臻品店)
烧烤,原始泥炉烤肉(西安一分店)
陕菜,柴门陕南家菜
自助餐,西安高新希尔顿咖啡露台西餐厅
其他,铭家小院私家菜
东南亚菜,芽莊+越式料理(金地广场店)
面包甜点,FiveZCake(中央工厂店)
小吃快餐,方中山胡辣汤
陕菜,众家灯火煎饼庄(盛大时代广场店)
湘菜,57度湘(万达广场店)
川菜,大饭堂·HOME COOKING
日本料理,花见寿司
陕菜,姥姥的春饼(大唐西市店)
日本料理,竹·匠心料理屋(雄楚一号店)
火锅,凤望龙门老火锅(武汉总店)
西餐,一杯猫咖啡(百瑞景店)
湖北菜,汉水谣餐厅
烧烤,二胖烧烤(奥山店)
面包甜点,玲曼甜点
湖北菜,老村长私募菜(民族大道店)
其他,北疆饭店(凯德广场店)
西餐,必胜客(大武汉店)
其他,马黑哥椒麻鸡
小吃快餐,大米先生(武商众圆广场店)
创意菜,胡桃里音乐酒馆音乐酒吧(三阳路...
火锅,味蜀吾老火锅
其他,咱家.小炕桌(南国西汇城市广场店...
烧烤,化骨绵掌烧烤传奇
私房菜,纪里捞面(中华城店)
面包甜点,精典泰迪的奶茶铺
日本料理,上野家日本料理
面包甜点,山姆烘焙(沙坡尾店)
面包甜点,名点荟法式西点
海鲜,好食来大排档
其他,马尔龙新疆饭店（莲花店）清真
日本料理,岚居酒屋
粤菜/潮州菜,表妹x颂
日本料理,小条食堂(松柏店)
咖啡厅,spoon汤匙创意料理(SM城市广场店...
西餐,又见马甲法式餐厅
闽菜,厦航海鲜大酒楼
火锅,九滋水相人文故事馆
川菜,川之越(加州商业广场店)
其他,鲜狠守辣
小龙虾,虾说小龙虾主题餐厅(中山店)
海鲜,宇诚海景国际酒店
韩国料理,季家韩式料理
面包甜点,朝茶(宝龙城市广场店)
小吃快餐,汉堡王(元洪店)
其他,红星平潭海鲜(冶山店)
海鲜,海知洋海鲜城
面包甜点,刘小姐の古早味
面包甜点,1Cake壹刻蛋糕(福州信和广场店)
咖啡厅,CO2 coffee(福州店)
咖啡厅,微焙咖啡工厂
其他,兵俤粉干卤味
日本料理,万岁寿司(仓山万达店)
烧烤,烧肉人日式烧肉
烧烤,手抄板凳
湘菜,呈湘•土家菜
面包甜点,Royalstea皇茶(三阳店)
面包甜点,糖仔新加坡老伴豆花甜品店
面包甜点,Royalstea皇茶(万达店)
火锅,黄记煌三汁焖锅(百乐广场店)
火锅,许府牛·鲜牛肉火锅(盛岸西路店)
烧烤,韩国八色烤肉(荟聚购物中心店)
无锡江浙,贝贝堂硬菜馆(滨湖万达店)
日本料理,伊食玖谷
火锅,德心居老北京羊蝎子
小吃快餐,柳州螺蛳粉(上马墩店)
面包甜点,糖纸甜品(无锡百乐店)
咖啡厅,潘哚拉咖啡
面包甜点,糖樂門
淮扬菜,生东小炒(维扬路店)
小龙虾,邵伯老九龙虾
烧烤,京城胡同烧烤(高桥路店)
淮扬菜,丹顶鹤酒楼(解放桥店)
小吃快餐,四川钵钵鸡
东北菜,大丰收东北菜馆
小吃快餐,秦食单记西安面馆(维扬路店)
小吃快餐,华莱士(万年北路店)
西餐,板烧厨房
淮扬菜,奥林.私房小厨(文昌东路店)
面包甜点,果然100(三盛广场店)
其他,东园小馆(扬子江路店)
面包甜点,几分甜烘焙工坊(育才店)
其他,汉森熊啤酒屋
面包甜点,仙芋世家
日本料理,花吃寿司
小龙虾,天涯龙虾(轻纺城店)
其他,京韵怡园(印象城店)
西餐,蓝带味牛扒家宴(印象城店)
粤菜,港岛记香港叉烧饭
海鲜,老周饭店(二店)
其他,奇迹正宗泡椒牛蛙(联丰店)
面包甜点,1點點奶茶(鼓楼店)
小吃快餐,衢州童记烤饼
火锅,渔乐圈柴灶鱼主题餐厅
西餐,SaladJohn沙拉匠
咖啡厅,意卡菲(华侨店)
小吃快餐,长年粥皇(恒一广场店)
火锅,风云海捞(新河路店)
湘菜,辣得叫(姚隘路店)
川菜,鱼酷活鱼现烤(天津远洋未来广场...
川菜,鱼酷活鱼现烤(嘉里汇店)
火锅,衛羊宮涮肉·河东店(河东店)
韩国料理,粥story(仁恒店)
咖啡厅,蒙斯莫吉托(南开大悦城店)
天津菜,津菜典藏(河北店)
云贵菜,丽江小镇(开发区店)
韩国料理,分米鸡 DM Chicken(河东万达广场...
粤菜,新旺茶餐厅(天河城店)
日本料理,星宿日式调酒炭火烤肉吧(成都道...
西餐,仅仅清真·咖餐厅
火锅,串串门冷锅串串香(小海地店)
西餐,乐尚客意式休闲餐厅(熙悦汇店)
西餐,路德维格1308啤酒坊
粤菜,叶记肠粉.清真（总店）
火锅,临江门坎下老灶火锅(重庆总店)
小吃快餐,老李家豆花
川菜,卞氏菜根香.菜根小厨(龙湖时代天...
火锅,观窑砂锅串串香(南坪店)
其他,鹿港小镇(协信星光店)
东南亚菜,南洋·旧食光
川菜,九九牛肉馆(南山路店)
火锅,丁月玉兔王(冉家坝店)
川菜,三生三味密宗川菜(龙湖·时代天...
川菜,整点辣小龙虾江湖菜夜宵
烧烤,夜烤·宜宾烧烤
川菜,嫩芽NAYAKA(新世界百货店)
川菜,老灶房乡村菜(杨家坪店)
火锅,干锅王(新牌坊店)
创意菜,不忘初心创意厨房
西餐,Playking玩者火焰薄饼(成都远洋...
串串香,钢管厂五区小郡肝串串香(天府三...
火锅,锦城印象火锅酒楼(高新店)
面包甜点,一蜜时刻蛋糕·榴莲生日蛋糕
私房菜,劉仟萬私房菜
日本料理,上善本味寿司(镋钯街店)
西餐,3-4-3GLI AZZURRI
面包甜点,胖达人手感烘焙(大业路店)
粤菜,宴庭Yan Ting
川菜,赞鱼(世豪广场店)
日本料理,秋野刺身(镋钯街店)
川菜,探鱼(来福士店)
面包甜点,天然呆冰の怪物
烧烤,凉山好汉西昌烧烤(西门店)
西餐,南多世葡式餐吧(兰桂坊店)
东北菜,小南洋(深圳湾店)
火锅,胡须佬鸡煲四季火锅店(皇岗总店)
粤菜,阿驹鲍鱼海鲜酒楼
川菜,探鱼(绿景虹湾店)
粤菜,潮江春(大中华店)
川菜,撒椒(COCO Park店)
面包甜点,初代甜品宇治抹茶(海岸城店)
东南亚菜,鑫泰泰国料理(华强北九方店)
面包甜点,不三不四
火锅,同仁四季音乐主题餐厅(福田东园...
粤菜,华洋酒楼
火锅,花椒千签荟串串香.烧烤(南山店)
西餐,城市餐桌
火锅,品德味道
小吃快餐,鼎泰丰(华润万象城店)
其他,云海肴云南菜(梅林卓悦汇店)
小吃快餐,仟福粥城(新洲店)
面包甜点,奈雪の茶(南山来福士店)
韩国料理,新麻蒲韩国料理(购物公园店)
西餐,ling西班牙餐厅
火锅,马家斑鱼(东乐店)
东北菜,四姐妹北方饺子馆(沙尾路店)
粤菜,香蜜轩(香蜜湖店)
湘菜,醉辣
其他,夜郎国(梅林店)
小龙虾,龙巢盱眙龙虾(红宝店)
江浙菜,江南厨子(九方购物中心店)
东南亚菜,鑫泰泰国料理(欢乐海岸店)
海鲜,青蓬蒸品海鲜城(万象城店)
川菜,胡桃里音乐酒馆(华侨城店)
咖啡厅,一隅咖啡
烧烤,炊牛家烤肉
日本料理,青缇新日料
火锅,华神火锅(南山大道店)
咖啡厅,Home cafe
粤菜,金谷1号海鲜酒楼
面包甜点,36 MATCHART(欢乐海岸购物中心店...
面包甜点,Godiva(深圳万象城店)
烧烤,新楚记烧烤
西餐,TheRaw Academics原研(九方店)
西餐,FAMO沙拉
江浙菜,浙礼(龙华九方店)
西餐,cafe107意式小馆
东南亚菜,鑫泰泰国料理(COCO Park店)
咖啡厅,欢乐海岸荃园艺术会所
新疆菜,新疆红柳花餐厅
其他,杨记下沙趣香盐焗鸡
火锅,蜀锦香厕所串串香(深圳总店)
西餐,威斯汀扒房
粤菜,粤厨
日本料理,岚山料理
西餐,蓝玛赫(欢乐海岸店)
川菜,探鱼(中心城店)
川菜,蓉悦餐厅(华润万象城店)
西餐,Mr.J Diner
火锅,重庆渝味晓宇火锅(深圳总店)
川菜,撒椒(九方购物中心店)
