foodtype,shopname
综合商场,世纪金花(赛高店)
综合商场,太白印象城
综合商场,西安华盛奥特莱斯购物中心(华盛...
综合商场,中大国际
运动户外,DECATHLON(南二环店)
面包甜点,全盛斋清真传统糕点(西羊市店)
综合商场,盛龙商业广场
花店,植物学家的女儿(老城根店)
眼镜店,视野联行眼镜工厂店(凤城五路赛...
超市/便利店,华润万家v+
花店,尚兰花艺
眼镜店,视野联行眼镜O2O工厂店(丈八北路...
眼镜店,FOGO福光眼镜O2O体验店(南大街店...
花店,橡木山丘(小寨)
综合商场,小寨银泰城
超市/便利店,ole’精品超市
综合商场,太奥广场
综合商场,西安金鹰购物中心(高新店)
综合商场,西市城购物中心
超市/便利店,麦德龙(雁塔商场)
花店,世纪金花(高新店)
眼镜店,FOGO福光眼镜O2O体验店(小寨店)
综合商场,万和城购物中心
综合商场,民生百货(骡马市店)
花店,YU-FLOWER花藝設計美學館
花店,YU-FLOWER花藝設計美學館
超市/便利店,BLTSupermarket(赛格国际店)
书店,西西弗书店
花店,弗斯特花艺生活馆
花店,roseonly
眼镜店,惟妙眼镜(小寨赛格直营店)
综合商场,阳光天地
综合商场,鑫苑大都汇购物中心
综合商场,中贸广场
超市/便利店,Ole'精品超市(西安王府井百货店)
综合商场,银泰百货(钟楼店)
花店,草木时空鲜花(金辉国际店)
咖啡厅,猫的天空之城概念书店(印象城购...
综合商场,芙蓉新天地广场
综合商场,赛特奥莱
婚戒首饰,钻石小鸟西安体验中心
综合商场,开元商城(西旺店)
特色集市,回民街
眼镜店,视野联行眼镜O2O工厂店(高新金鹰...
面包甜点,台湾伊佐茶序(汉神购物广场店)
综合商场,世纪金花(珠江时代广场店)
综合商场,万达广场(西安大明宫店)
综合商场,开元商城(钟楼店)
综合商场,西安王府井百货
综合商场,龙湖星悦荟购物中心(曲江店)
综合商场,万达广场(民乐园店)
综合商场,龙湖星悦荟(大兴店)
综合商场,汉神购物广场
综合商场,万象城
综合商场,金鹰曲江购物中心
综合商场,新世界百货(北大街店)
综合商场,立丰国际购物广场
综合商场,曲江银泰城
综合商场,万达广场(李家村店)
书店,西西弗书店
花店,遇见花店(高新店)
花店,清水花艺
眼镜店,视野联行眼镜O2O工厂店(丈八北路...
花店,rosyrose陌上花园(阳光新天地店)
眼镜店,惟妙眼镜(小寨赛格直营店)
眼镜店,瑞奇眼镜工作室
综合商场,赛格国际购物中心
综合商场,city on熙地港购物中心(西安店)
综合商场,益田假日世界购物中心
综合商场,中大国际(高新店)
综合商场,印象城购物中心
综合商场,老城根GPark
书店,曲江书城
综合商场,金地广场
综合商场,凯德广场新地城
化妆品,屈臣氏(益田店)
超市/便利店,进口商品保税直营店
化妆品,树之源进口药妆(cityon熙地港店)
眼镜店,波涛眼镜(小寨二店)
花店,橡木山丘(高新)
超市/便利店,华润万家(吉祥路店)
花店,玫瑰鲜花阁(丈八北团结唐延路店)
花店,花翁floral blossom(高新唐延路...
花店,酒無花
花店,青野greenwild
超市/便利店,华润万家(西二环店)
婚戒首饰,周生生(世纪金花珠江时代店)
花店,诗远花艺
综合商场,雁翔广场
超市/便利店,华润万家(雁塔路店)
花店,锦尚鲜花(玫瑰花娘)
水果生鲜,老百姓果业
眼镜店,jins(鑫苑大都汇店)
服饰鞋包,mcm
眼镜店,FOGO眼镜O2O体验店(电子正街店)
化妆品,ORIGINS(开元商城店)
综合商场,金辉悠熙地
眼镜店,波涛眼镜(旗舰店)
水果生鲜,胡家庙水果批发市场
服饰鞋包,OYSHO(银泰百货店)
综合商场,中华世纪城
更多购物场所,彬纯
花店,苏里南鲜花坊(省体育场店)
眼镜店,BENZO眼睛(金地广场店)
药店,北京同仁堂(西安世纪金花高新店)
水果生鲜,晶晶水果(水果湖店)
超市/便利店,屈臣氏(万达广场店)
花店,Lion Garden狮子花园
水果生鲜,仟果季精致水果(台北路店)
眼镜店,愛上眼鏡(城市广场店)
综合商场,中百仓储(静安上城店)
卤味,周黑鸭(卓豹路店)
超市/便利店,中百罗森(宝丽金店)
超市/便利店,武商量贩(惠济店)
小吃快餐,良品铺子(光谷天地二分店)
超市/便利店,芙蓉兴盛超市
综合商场,中百仓储(杨汊湖店)
综合商场,中百仓储(大成路店)
综合商场,中百仓储(长丰大道店)
卤味,周黑鸭(张家湾店)
综合商场,名创优品(富万邦店)
化妆品,Avène雅漾屈臣氏厦门SM
超市/便利店,美佳缘
服饰鞋包,格调(祥店中路店)
化妆品,屈臣氏(东方时代广场店)
花店,这里有花Flowers over here
超市/便利店,三多利便利店(领秀城店)
综合商场,集友广场
超市/便利店,夏商民兴便利店(海天店)
综合商场,SHINE GREEN仙绿晶银饰(鼓浪屿店...
综合商场,锦贸百货
眼镜店,鹭达眼镜(香港广场店)
食品茶酒,燕之屋碗燕(明发商业广场店)
化妆品,片仔癀高崎机场体验店
食品茶酒,秀英食品
水果生鲜,开心水果店(五一北路店)
服饰鞋包,BURBERRY(大洋晶典冠亚店)
服饰鞋包,OYSHO(仓山万达店)
化妆品,悦诗风吟
化妆品,屈臣氏(FZ五四泰禾广场)
数码产品,酷动(万象城店)
水果生鲜,绿色水果超市
食品茶酒,闽台特产
超市/便利店,美宜佳(岳峰店)
超市/便利店,沃尔玛购物广场(鼓山店)
超市/便利店,永辉超市(西二环中路店)
更多购物场所,屈臣氏
综合商场,新华都购物广场
综合商场,永辉福建(福州市--融侨店)
化妆品,屈臣氏(南后街店)
超市/便利店,好印象珍品果业
食品茶酒,鑫栗王
超市/便利店,大统华(新明西路店)
更多购物场所,名创优品(宝龙城市广场店)
超市/便利店,欧特福精品生活超市
综合商场,新东方百货
更多购物场所,太湖阳山蟠寿园水蜜桃(旺庄店)
超市/便利店,好利来便利店(春江东路)
更多购物场所,三福(金太湖广场店)
眼镜店,天视力眼视光中心(阳光橫街店)
更多购物场所,POLYMONO
药店,李同丰参药店
食品茶酒,天之香茗茶
服饰鞋包,贝贝帕克
超市/便利店,罗森(中山北路店)
超市/便利店,乐购超市
综合商场,好又多购物中心
花店,小燕子花屋
眼镜店,明诚眼镜
食品茶酒,龙门花甲(淮海路店)
花店,阳光花卉(花之依)
食品茶酒,来伊份(沃尔玛扬子江北路店)
眼镜店,蒋明眼镜
超市/便利店,苏果便利
服饰鞋包,太平鸟(金鹰国际购物中心店)
服饰鞋包,JACK&JONES(三盛广场店)
珠宝饰品,I DO 珠宝
亲子购物,爱婴岛(扬州三盛广场店)
服饰鞋包,老姐服装行
服饰鞋包,星钻牛仔
更多购物场所,古塘名爵美容美发用品商行
服饰鞋包,MassimoDutti(印象城店)
更多购物场所,Sanfu
超市/便利店,世纪百联生活超市
水果生鲜,金勇水果店
超市/便利店,万国码头(锦绣东城)
眼镜店,零距离眼镜超市
眼镜店,明月眼镜(海尚店)
服饰鞋包,jackjones杰克琼斯(世纪金源店)
更多购物场所,星野家(海曙南塘店)
食品茶酒,石浦菜场
花店,墨柏森林(墨柏森林花艺)
食品茶酒,素食全餐养生体验馆
数码产品,北峰通讯
眼镜店,亮视点眼镜(来福士广场店)
超市/便利店,7-11便利店(时代广场店)
食品茶酒,买又大食品(新兴路店)
超市/便利店,711便利店(凯德mall天津湾店)
珠宝饰品,A Ji Dou(大悦城店)
小吃快餐,武汉九九鸭脖(隆昌路店)
花店,遇见花店M FLOWER
花店,宝鸡道花市
数码产品,华为体验店(金钟河店)
更多购物场所,酷乐潮玩(世纪都会店)
服饰鞋包,UNIQLO(凯德mall天津湾店)
更多购物场所,OUTLETS名品折扣(荣业大街店)
超市/便利店,7-11便利店(南口路店)
服饰鞋包,CHARLES & KEITH(河东万达广场店...
眼镜店,宝岛眼镜(天河城店)
花店,青和水培园艺创意馆
数码产品,戴尔dell官方授权体验店(亿象城...
超市/便利店,沃尔玛购物广场(金港国际购物中...
家具家居,聚信美家居世纪城
化妆品,悦诗风吟(龙湖·时代天街店)
眼镜店,eGG眼镜(北城天街购物广场店)
书店,品存书苑
综合商场,新世纪凯瑞商都
更多购物场所,藤萝乐器
更多购物场所,荣昌折扇厂
花店,白马先生鲜花店(巴国城店)
化妆品,LANEIGE兰芝(重庆瑞成商都店)
更多购物场所,名创优品(重庆建新东路店)
花店,先花店(垫江县分店)
花店,贵平花店
更多购物场所,debenhams英国德本汉姆百货(解放...
花店,皇后鲜花
化妆品,爱丽小屋
更多购物场所,白鹿中法传统风情小镇
综合商场,绿地之窗
眼镜店,博士伦x精视力路演中心
服饰鞋包,MICHAEL KORS(时代奥特莱斯折扣...
化妆品,屈臣氏(银泰城店)
超市/便利店,711便利店(中汇广场店)
药店,九鼎药房(大慈寺路店)
眼镜店,宝视达眼镜(欧尚高新店)
服饰鞋包,重回汉唐汉服店(锦里店)
花店,Daisy Floral黛西花舍花艺设计
书店,新华文轩书店(总府路店)
超市/便利店,全家便利店
超市/便利店,鑫富东网络超市
超市/便利店,美宜佳(2515号店福田武警大厦景...
更多购物场所,万宁(怡景中心城店)
化妆品,屈臣氏(深南大道店)
水果生鲜,百果园(万科1店)
花店,phyllis' 花匠(罗湖店)
药店,一致药店(华侨城二店)
花店,浪漫花屋鲜花店(龙华店)
服饰鞋包,PRADA(华润万象城店)
服饰鞋包,锦都服装城
花店,情语鲜花(南山店)
眼镜店,LOHO眼镜生活(海岸城店)
药店,南北药行
服饰鞋包,Bershka(怡景中心城店)
水果生鲜,果优营养水果店
综合商场,东部华侨城 年卡
综合商场,缤纷商业中心
数码产品,WM VAPE 蒸汽电子烟吧
化妆品,Sasa(莎莎深圳前海店)
服饰鞋包,VICTORIA'S SECRET(金光华广场店...
办公/文化用品,SIMPLE THINGS(1234space店)
水果生鲜,川粤平价蔬菜行
超市/便利店,全家Family Mart
服饰鞋包,MUJI(宝安机场T3店)
服饰鞋包,VALENTINO(华润万象城店)
服饰鞋包,PINKO
眼镜店,博士眼镜(华强茂业店)
超市/便利店,全家Family Mart(卓越世纪中心店...
服饰鞋包,OYSHO(海雅缤纷城购物中心店)
眼镜店,宝岛眼镜(深圳新洲家乐福店)
超市/便利店,711便利店
眼镜店,宝岛眼镜
水果生鲜,百果园(水木丹华店)
办公/文化用品,弘文文化用品专业店(中心书城店)
水果生鲜,百果园(隆盛花园)
眼镜店,明珠眼镜(华强北店)
服饰鞋包,MONKI(宝能太古城店)
花店,花之恋鲜花(南山店)
水果生鲜,花果山·鲜
超市/便利店,华润万家(彩田店)
运动户外,adidas originals(KKMALL京基店)
水果生鲜,百果园(蔡屋围店)
服饰鞋包,GAP
超市/便利店,百易佳便利店
服饰鞋包,UNIQLO(龙华九方店)
水果生鲜,百果园(南国丽城二店)
运动户外,DECATHLON(龙平店)
眼镜店,华光眼镜
水果生鲜,果乐园
服饰鞋包,I.T(九方购物中心店)
超市/便利店,沃尔玛超市(深圳嘉宾店)
综合商场,世贸百货
亲子购物,mothercare(海雅缤纷城店)
服饰鞋包,6IXTY 8IGHT
超市/便利店,巴迪奥精品超市
超市/便利店,永辉超市(茂业百货文心二路店)
超市/便利店,华润万家(益田店)
化妆品,COVERMARK(万象城店)
化妆品,Bobbi Brown彩妆(海岸城店)
珠宝饰品,PANDORA(KKMALL京基店)
综合商场,天虹商场(横岗松柏店)
花店,轩雅鲜花(花园城店)
宝宝派对,出彩儿童生日派对策划
眼镜店,眼镜大师(KKMALL京基店)
超市/便利店,沃尔玛购物广场(福星店)
超市/便利店,美维佳便利店
眼镜店,博士眼镜(坂田五和大道天虹店)
服饰鞋包,6IXTY 8IGHT(京基滨河时代店)
数码产品,BOSE音响(顺电华强北店)
超市/便利店,美宜佳便利店
综合商场,Ucity
小吃快餐,绝味鸭脖(凤凰路店)
超市/便利店,全家便利店
花店,花拉拉鲜花坊(蛇口店)
花店,野蛮生长花艺生活概念馆
服饰鞋包,GUCCI
更多购物场所,小米之家(皇庭广场店)
药店,一致药店(星河天虹店)
超市/便利店,美宜佳
运动户外,NIKE(东门新安体验店)
建材,MUJI
服饰鞋包,aike爱客(来福士广场店)
服饰鞋包,ZARA(海雅缤纷城购物中心店)
综合商场,天虹商场(横岗店)
综合商场,星光城
化妆品,爱丽小屋
综合商场,南湖时代广场
花店,鹿鸣花坊
眼镜店,亚洲眼镜(21分店)
水果生鲜,百果园(新港鸿花园店)
服饰鞋包,hotwind(海岸城店)
化妆品,CPB
水果生鲜,清本果町
办公/文化用品,LAMY(万象城店)
